name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
la paz mexico,2010-12-01,28,4.1,13.7,26.9,3.3,13,4.6,59.6,0,0,0,,,,,16.2,41.7,1014.9,42,7.8,236.3,20.1,8,,2010-12-01T06:53:28,2010-12-01T17:56:18,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2010-12-02,25.2,4.1,14,25.2,4.1,13.9,2.5,53.1,0,0,0,,,,,15.7,339.3,1013.1,43.6,9.9,243.2,21,9,,2010-12-02T06:54:06,2010-12-02T17:56:27,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,MMMX,76685099999,76675099999"
la paz mexico,2010-12-03,23.5,-0.9,12.1,23.5,-0.9,11.7,-2.7,44.3,0,0,0,,,,,14.8,37.6,1014.9,1.8,12.1,244.4,21.1,9,,2010-12-03T06:54:43,2010-12-03T17:56:37,0.97,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,MMPB,76679399999,MMCB,76680099999,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2010-12-04,24.3,-1.9,11.4,24.3,-1.9,11,-7.6,35.8,0,0,0,,,,,11.2,348.7,1015.3,0,11.5,236,20.5,9,,2010-12-04T06:55:21,2010-12-04T17:56:48,1,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2010-12-05,24.2,-1.9,10.9,24.2,-2.8,10.4,-7.5,34.7,0,0,0,,,,,20.2,354.6,1016.2,0,14.3,246.8,21.3,9,,2010-12-05T06:55:58,2010-12-05T17:57:00,1,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMMX"
la paz mexico,2010-12-06,20.7,-1.9,9.3,20.7,-2.1,8.7,1.1,61.3,0,0,0,,,,,20.3,27.1,1017.9,9.9,11.1,240.5,20.7,9,,2010-12-06T06:56:36,2010-12-06T17:57:14,0,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,MMMX,76685099999,76675099999"
la paz mexico,2010-12-07,20.8,-2,10.1,20.8,-2,9.9,2.1,63.4,0,0,0,,,,,18.4,34.9,1016.6,18.3,10.3,240.7,20.9,9,,2010-12-07T06:57:13,2010-12-07T17:57:29,0.02,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,76685099999,76675099999,MMTO,MMMX"
la paz mexico,2010-12-08,20.5,-1.9,10.5,20.5,-4.9,10.3,0.6,55.1,0,0,0,,,,37.1,25.9,5.2,1014.5,3,10,239,20.6,9,,2010-12-08T06:57:49,2010-12-08T17:57:45,0.04,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2010-12-09,20.5,-5.9,8.9,20.5,-5.9,8,-4.6,50.8,0,0,0,,,,,20.5,13.4,1019,4.4,13.3,254.2,22,9,,2010-12-09T06:58:26,2010-12-09T17:58:02,0.07,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76683099999,76685099999,MMMX,MMTO,76675099999"
la paz mexico,2010-12-10,24.1,-4.9,9.8,24.1,-7.8,9.7,-7.7,36.6,0,0,0,,,,,25.9,82.1,1016.5,0.5,10.5,251.9,21.7,9,,2010-12-10T06:59:02,2010-12-10T17:58:21,0.11,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,MMPB,76679399999,76680099999,MMCB,76683099999,MMMX,76685099999,76675099999"
la paz mexico,2010-12-11,22.6,3.1,11.8,22.6,1.9,11.6,-9.7,28.3,0,0,0,,,,,12.6,6.3,1014.4,0,8.7,248.2,21.5,9,,2010-12-11T06:59:38,2010-12-11T17:58:40,0.15,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76683099999,76685099999,MMMX,76675099999"
la paz mexico,2010-12-12,21.2,-4.9,11.1,21.2,-4.9,10.9,-6.7,34.2,0,0,0,,,,,16.6,24.5,1016.8,0,12.2,245.5,21.2,9,,2010-12-12T07:00:14,2010-12-12T17:59:01,0.2,Clear,Clear conditions throughout the day.,clear-day,"76681099999,76726099999,76675399999,76679399999,76680099999,MMCB,remote,76683099999,76685099999,76675099999,MMMX"
